i,xi,Lxi,fxi,Exi,
40,-2.121212121212121e-01,7.751510334014957e-01,8.088666471820897e-01,3.371561378059398e-02,
41,-1.919191919191919e-01,7.944596126848600e-01,8.253735626504801e-01,3.091394996562016e-02,
42,-1.717171717171717e-01,8.142114778654308e-01,8.422173423711300e-01,2.800586450569916e-02,
43,-1.515151515151515e-01,8.344066289432083e-01,8.594048608885093e-01,2.499823194530101e-02,
44,-1.313131313131313e-01,8.550450659181924e-01,8.769431330390940e-01,2.189806712090163e-02,
45,-1.111111111111111e-01,8.761267887903831e-01,8.948393168143698e-01,1.871252802398668e-02,
46,-9.090909090909091e-02,8.976517975597804e-01,9.131007162822623e-01,1.544891872248195e-02,
47,-7.070707070707071e-02,9.196200922263843e-01,9.317347845681871e-01,1.211469234180280e-02,
48,-5.050505050505051e-02,9.420316727901948e-01,9.507491268969341e-01,8.717454106739256e-03,
49,-3.030303030303030e-02,9.648865392512119e-01,9.701515036966301e-01,5.264964445418191e-03,
50,-1.010101010101010e-02,9.881846916094357e-01,9.899498337660452e-01,1.765142156609580e-03,
51,1.010101010101010e-02,1.011926129864866e+00,1.010152197506535e+00,1.773932358330610e-03,
52,3.030303030303030e-02,1.036110854017503e+00,1.030766840219941e+00,5.344013797561770e-03,
53,5.050505050505050e-02,1.060738864067346e+00,1.051802175473788e+00,8.936688593558249e-03,
54,7.070707070707071e-02,1.085810160014397e+00,1.073266788535163e+00,1.254337147923376e-02,
55,9.090909090909091e-02,1.111324741858653e+00,1.095169439874664e+00,1.615530198398910e-02,
56,1.111111111111111e-01,1.137282609600117e+00,1.117519068741864e+00,1.976354085825310e-02,
57,1.313131313131313e-01,1.163683763238787e+00,1.140324796813729e+00,2.335896642505752e-02,
58,1.515151515151515e-01,1.190528202774663e+00,1.163595931917506e+00,2.693227085715685e-02,
59,1.717171717171717e-01,1.217815928207746e+00,1.187341971829573e+00,3.047395637817357e-02,
60,1.919191919191919e-01,1.245546939538036e+00,1.211572608151818e+00,3.397433138621847e-02,
61,2.121212121212121e-01,1.273721236765533e+00,1.236297730267129e+00,3.742350649840380e-02,
62,2.323232323232323e-01,1.302338819890236e+00,1.261527429375601e+00,4.081139051463510e-02,
63,2.525252525252525e-01,1.331399688912145e+00,1.287272002613111e+00,4.412768629903413e-02,
64,2.727272727272727e-01,1.360903843831262e+00,1.313541957253949e+00,4.736188657731223e-02,
65,2.929292929292929e-01,1.390851284647584e+00,1.340348014999206e+00,5.050326964837860e-02,
66,3.131313131313131e-01,1.421242011361114e+00,1.367701116352680e+00,5.354089500843350e-02,
67,3.333333333333333e-01,1.452076023971850e+00,1.395612425086090e+00,5.646359888576027e-02,
68,3.535353535353535e-01,1.483353322479792e+00,1.424093332795399e+00,5.925998968439370e-02,
69,3.737373737373737e-01,1.515073906884942e+00,1.453155463550136e+00,6.191844333480538e-02,
70,3.939393939393939e-01,1.547237777187298e+00,1.482810678637589e+00,6.442709854970823e-02,
71,4.141414141414141e-01,1.579844933386860e+00,1.513071081403816e+00,6.677385198304408e-02,
72,4.343434343434343e-01,1.612895375483629e+00,1.543949022193451e+00,6.894635329017845e-02,
73,4.545454545454545e-01,1.646389103477605e+00,1.575457103390318e+00,7.093200008728648e-02,
74,4.747474747474747e-01,1.680326117368787e+00,1.607608184560914e+00,7.271793280787271e-02,
75,4.949494949494949e-01,1.714706417157176e+00,1.640415387702851e+00,7.429102945432541e-02,
76,5.151515151515152e-01,1.749530002842771e+00,1.673892102600408e+00,7.563790024236360e-02,
77,5.353535353535354e-01,1.784796874425574e+00,1.708051992289383e+00,7.674488213619067e-02,
78,5.555555555555556e-01,1.820507031905582e+00,1.742908998633458e+00,7.759803327212443e-02,
79,5.757575757575758e-01,1.856660475282798e+00,1.778477348014370e+00,7.818312726842764e-02,
80,5.959595959595960e-01,1.893257204557219e+00,1.814771557138203e+00,7.848564741901655e-02,
81,6.161616161616162e-01,1.930297219728848e+00,1.851806438960170e+00,7.849078076867777e-02,
82,6.363636363636364e-01,1.967780520797683e+00,1.889597108730308e+00,7.818341206737542e-02,
83,6.565656565656566e-01,2.005707107763725e+00,1.928158990162544e+00,7.754811760118096e-02,
84,6.767676767676768e-01,2.044076980626973e+00,1.967507821729665e+00,7.656915889730799e-02,
85,6.969696969696970e-01,2.082890139387428e+00,2.007659663086745e+00,7.523047630068277e-02,
86,7.171717171717172e-01,2.122146584045090e+00,2.048630901625661e+00,7.351568241942890e-02,
87,7.373737373737374e-01,2.161846314599958e+00,2.090438259163367e+00,7.140805543659086e-02,
88,7.575757575757576e-01,2.201989331052033e+00,2.133098798766666e+00,6.889053228536693e-02,
89,7.777777777777778e-01,2.242575633401314e+00,2.176629931716248e+00,6.594570168506585e-02,
90,7.979797979797980e-01,2.283605221647802e+00,2.221049424612857e+00,6.255579703494508e-02,
91,8.181818181818182e-01,2.325078095791497e+00,2.266375406628466e+00,5.870268916303028e-02,
92,8.383838383838384e-01,2.366994255832398e+00,2.312626376905441e+00,5.436787892695665e-02,
93,8.585858585858586e-01,2.409353701770506e+00,2.359821212106693e+00,4.953248966381220e-02,
94,8.787878787878788e-01,2.452156433605820e+00,2.407979174119919e+00,4.417725948590146e-02,
95,8.989898989898990e-01,2.495402451338341e+00,2.457119917919056e+00,3.828253341928533e-02,
96,9.191919191919192e-01,2.539091754968069e+00,2.507263499586180e+00,3.182825538188842e-02,
97,9.393939393939394e-01,2.583224344495003e+00,2.558430384497103e+00,2.479395999789998e-02,
98,9.595959595959596e-01,2.627800219919144e+00,2.610641455674016e+00,1.715876424512747e-02,
99,9.797979797979798e-01,2.672819381240491e+00,2.663918022308597e+00,8.901358931893859e-03,
100,1.000000000000000e+00,2.718281828459045e+00,2.718281828459045e+00,4.336808689942018e-19,
